  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.122E+014  1.471E-009  1.338E-016  1.520E-018  2.312E-018  2.979E-015  8.500E-002  5.861E-016  3.407E-020  1.120E-025  4.729E-016
   1.259E+014  6.838E-010  1.622E-016  1.914E-018  2.911E-018  3.659E-015  8.500E-002  7.308E-016  4.289E-020  1.909E-025  6.272E-016
   1.413E+014  3.900E-010  1.966E-016  2.410E-018  3.664E-018  4.492E-015  8.500E-002  9.110E-016  5.400E-020  2.540E-025  8.009E-016
   1.585E+014  2.825E-010  2.383E-016  3.034E-018  4.613E-018  5.514E-015  8.500E-002  1.135E-015  6.798E-020  3.235E-025  9.953E-016
   1.778E+014  2.681E-010  2.889E-016  3.819E-018  5.807E-018  6.765E-015  8.500E-002  1.414E-015  8.557E-020  4.090E-025  1.215E-015
   1.995E+014  3.063E-010  3.503E-016  4.808E-018  7.310E-018  8.297E-015  8.500E-002  1.761E-015  1.077E-019  5.166E-025  1.469E-015
   2.239E+014  3.789E-010  4.247E-016  6.054E-018  9.203E-018  1.017E-014  8.500E-002  2.193E-015  1.356E-019  6.524E-025  1.765E-015
   2.512E+014  4.785E-010  5.149E-016  7.621E-018  1.158E-017  1.247E-014  8.500E-002  2.729E-015  1.707E-019  8.241E-025  2.114E-015
   2.818E+014  6.046E-010  6.243E-016  9.595E-018  1.458E-017  1.528E-014  8.500E-002  3.395E-015  2.149E-019  1.041E-024  2.528E-015
   3.162E+014  7.610E-010  7.570E-016  1.208E-017  1.836E-017  1.871E-014  8.500E-002  4.222E-015  2.706E-019  1.316E-024  3.021E-015
   3.548E+014  9.547E-010  9.179E-016  1.521E-017  2.311E-017  2.291E-014  8.500E-002  5.250E-015  3.406E-019  1.664E-024  3.609E-015
   3.981E+014  1.193E-009  1.113E-015  1.914E-017  2.909E-017  2.805E-014  8.500E-002  6.525E-015  4.288E-019  2.106E-024  4.308E-015
   4.467E+014  1.484E-009  1.350E-015  2.410E-017  3.663E-017  3.432E-014  8.500E-002  8.106E-015  5.398E-019  2.665E-024  5.141E-015
   5.012E+014  1.833E-009  1.637E-015  3.034E-017  4.611E-017  4.199E-014  8.500E-002  1.007E-014  6.795E-019  3.374E-024  6.133E-015
   5.623E+014  2.250E-009  1.985E-015  3.820E-017  5.804E-017  5.134E-014  8.500E-002  1.250E-014  8.554E-019  4.275E-024  7.314E-015
   6.310E+014  2.741E-009  2.407E-015  4.809E-017  7.307E-017  6.277E-014  8.500E-002  1.551E-014  1.077E-018  5.419E-024  8.718E-015
   7.079E+014  3.320E-009  2.920E-015  6.054E-017  9.198E-017  7.672E-014  8.500E-002  1.924E-014  1.356E-018  6.872E-024  1.039E-014
