  ** CALCULATED NUMBER DENSITIES (/CM^3) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.643E+008  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.122E+014  3.632E+000  3.304E-007  3.754E-009  5.710E-009  7.357E-006  2.099E+008  1.447E-006  8.415E-011  2.767E-016  1.168E-006
   1.259E+014  1.341E+000  3.181E-007  3.754E-009  5.710E-009  7.177E-006  1.667E+008  1.434E-006  8.414E-011  3.746E-016  1.230E-006
   1.413E+014  6.077E-001  3.063E-007  3.755E-009  5.710E-009  7.000E-006  1.325E+008  1.420E-006  8.414E-011  3.958E-016  1.248E-006
   1.585E+014  3.497E-001  2.950E-007  3.755E-009  5.709E-009  6.825E-006  1.052E+008  1.405E-006  8.414E-011  4.005E-016  1.232E-006
   1.778E+014  2.636E-001  2.841E-007  3.755E-009  5.709E-009  6.651E-006  8.357E+007  1.390E-006  8.414E-011  4.022E-016  1.195E-006
   1.995E+014  2.392E-001  2.736E-007  3.755E-009  5.709E-009  6.480E-006  6.638E+007  1.375E-006  8.413E-011  4.034E-016  1.147E-006
   2.239E+014  2.350E-001  2.635E-007  3.755E-009  5.709E-009  6.311E-006  5.273E+007  1.360E-006  8.413E-011  4.047E-016  1.095E-006
   2.512E+014  2.358E-001  2.537E-007  3.755E-009  5.709E-009  6.144E-006  4.188E+007  1.345E-006  8.413E-011  4.061E-016  1.042E-006
   2.818E+014  2.366E-001  2.444E-007  3.756E-009  5.708E-009  5.980E-006  3.327E+007  1.329E-006  8.412E-011  4.076E-016  9.896E-007
   3.162E+014  2.366E-001  2.354E-007  3.756E-009  5.708E-009  5.818E-006  2.643E+007  1.313E-006  8.412E-011  4.092E-016  9.394E-007
   3.548E+014  2.358E-001  2.267E-007  3.756E-009  5.708E-009  5.659E-006  2.099E+007  1.297E-006  8.412E-011  4.111E-016  8.912E-007
   3.981E+014  2.341E-001  2.184E-007  3.756E-009  5.708E-009  5.502E-006  1.667E+007  1.280E-006  8.411E-011  4.131E-016  8.451E-007
   4.467E+014  2.312E-001  2.103E-007  3.756E-009  5.707E-009  5.348E-006  1.325E+007  1.263E-006  8.411E-011  4.153E-016  8.011E-007
   5.012E+014  2.269E-001  2.026E-007  3.756E-009  5.707E-009  5.197E-006  1.052E+007  1.246E-006  8.410E-011  4.177E-016  7.591E-007
   5.623E+014  2.212E-001  1.952E-007  3.756E-009  5.707E-009  5.048E-006  8.357E+006  1.229E-006  8.410E-011  4.203E-016  7.191E-007
   6.310E+014  2.141E-001  1.880E-007  3.756E-009  5.706E-009  4.902E-006  6.638E+006  1.211E-006  8.410E-011  4.232E-016  6.809E-007
   7.079E+014  2.060E-001  1.811E-007  3.756E-009  5.706E-009  4.759E-006  5.273E+006  1.194E-006  8.409E-011  4.263E-016  6.445E-007
   7.943E+014  1.971E-001  1.745E-007  3.755E-009  5.706E-009  4.619E-006  4.188E+006  1.176E-006  8.409E-011  4.296E-016  6.098E-007
   8.913E+014  1.877E-001  1.681E-007  3.755E-009  5.706E-009  4.481E-006  3.327E+006  1.158E-006  8.408E-011  4.332E-016  5.767E-007
   1.000E+015  1.781E-001  1.619E-007  3.755E-009  5.705E-009  4.347E-006  2.643E+006  1.140E-006  8.408E-011  4.371E-016  5.453E-007
   1.122E+015  1.682E-001  1.560E-007  3.755E-009  5.705E-009  4.215E-006  2.099E+006  1.121E-006  8.407E-011  4.412E-016  5.153E-007
   1.259E+015  1.582E-001  1.503E-007  3.755E-009  5.705E-009  4.086E-006  1.667E+006  1.103E-006  8.407E-011  4.455E-016  4.868E-007
   1.413E+015  1.482E-001  1.448E-007  3.755E-009  5.704E-009  3.960E-006  1.325E+006  1.084E-006  8.406E-011  4.500E-016  4.597E-007
   1.585E+015  1.383E-001  1.395E-007  3.754E-009  5.704E-009  3.837E-006  1.052E+006  1.066E-006  8.406E-011  4.548E-016  4.339E-007
   1.778E+015  1.287E-001  1.344E-007  3.754E-009  5.703E-009  3.717E-006  8.357E+005  1.047E-006  8.405E-011  4.596E-016  4.095E-007
   1.995E+015  1.193E-001  1.295E-007  3.754E-009  5.703E-009  3.599E-006  6.638E+005  1.028E-006  8.404E-011  4.647E-016  3.862E-007
   2.239E+015  1.103E-001  1.248E-007  3.754E-009  5.703E-009  3.485E-006  5.273E+005  1.009E-006  8.404E-011  4.698E-016  3.641E-007
   2.512E+015  1.016E-001  1.202E-007  3.753E-009  5.702E-009  3.373E-006  4.188E+005  9.900E-007  8.403E-011  4.750E-016  3.431E-007
   2.818E+015  9.337E-002  1.158E-007  3.753E-009  5.702E-009  3.264E-006  3.327E+005  9.710E-007  8.402E-011  4.802E-016  3.233E-007
   3.162E+015  8.559E-002  1.116E-007  3.752E-009  5.701E-009  3.158E-006  2.643E+005  9.519E-007  8.402E-011  4.854E-016  3.044E-007
   3.548E+015  7.828E-002  1.075E-007  3.752E-009  5.701E-009  3.054E-006  2.099E+005  9.328E-007  8.401E-011  4.905E-016  2.865E-007
   3.981E+015  7.143E-002  1.035E-007  3.751E-009  5.700E-009  2.953E-006  1.667E+005  9.138E-007  8.400E-011  4.954E-016  2.696E-007
   4.467E+015  6.505E-002  9.976E-008  3.751E-009  5.700E-009  2.855E-006  1.325E+005  8.947E-007  8.400E-011  5.002E-016  2.536E-007
   5.012E+015  5.913E-002  9.610E-008  3.750E-009  5.699E-009  2.759E-006  1.052E+005  8.757E-007  8.399E-011  5.048E-016  2.384E-007
   5.623E+015  5.369E-002  9.258E-008  3.749E-009  5.699E-009  2.666E-006  8.357E+004  8.568E-007  8.398E-011  5.092E-016  2.240E-007
   6.310E+015  4.888E-002  8.918E-008  3.748E-009  5.698E-009  2.576E-006  6.638E+004  8.379E-007  8.397E-011  5.137E-016  2.104E-007
   7.079E+015  4.546E-002  8.591E-008  3.747E-009  5.698E-009  2.488E-006  5.273E+004  8.191E-007  8.396E-011  5.194E-016  1.976E-007
   7.943E+015  4.663E-002  8.276E-008  3.744E-009  5.697E-009  2.403E-006  4.188E+004  8.004E-007  8.395E-011  5.294E-016  1.855E-007
   8.913E+015  6.333E-002  7.972E-008  3.740E-009  5.696E-009  2.319E-006  3.327E+004  7.818E-007  8.394E-011  5.520E-016  1.740E-007
   1.000E+016  1.274E-001  7.679E-008  3.729E-009  5.696E-009  2.239E-006  2.643E+004  7.634E-007  8.394E-011  6.082E-016  1.632E-007
   1.122E+016  3.190E-001  7.397E-008  3.698E-009  5.695E-009  2.161E-006  2.099E+004  7.451E-007  8.393E-011  7.502E-016  1.530E-007
   1.259E+016  8.135E-001  7.128E-008  3.610E-009  5.694E-009  2.085E-006  1.667E+004  7.271E-007  8.392E-011  1.110E-015  1.435E-007
   1.413E+016  1.950E+000  6.873E-008  3.390E-009  5.694E-009  2.012E-006  1.325E+004  7.095E-007  8.390E-011  2.009E-015  1.346E-007
   1.585E+016  4.309E+000  6.637E-008  2.938E-009  5.693E-009  1.942E-006  1.052E+004  6.924E-007  8.389E-011  4.122E-015  1.264E-007
   1.778E+016  8.786E+000  6.429E-008  2.239E-009  5.692E-009  1.876E-006  8.357E+003  6.763E-007  8.388E-011  8.395E-015  1.190E-007
   1.995E+016  1.662E+001  6.267E-008  1.475E-009  5.691E-009  1.815E-006  6.638E+003  6.618E-007  8.386E-011  1.540E-014  1.129E-007
   2.239E+016  2.936E+001  6.178E-008  8.758E-010  5.689E-009  1.763E-006  5.273E+003  6.500E-007  8.383E-011  2.519E-014  1.090E-007
   2.512E+016  4.878E+001  6.208E-008  5.016E-010  5.687E-009  1.720E-006  4.188E+003  6.421E-007  8.379E-011  3.887E-014  1.099E-007
   2.818E+016  7.665E+001  6.431E-008  2.962E-010  5.684E-009  1.692E-006  3.327E+003  6.394E-007  8.372E-011  5.960E-014  1.224E-007
   3.162E+016  1.145E+002  6.965E-008  1.915E-010  5.678E-009  1.683E-006  2.643E+003  6.432E-007  8.361E-011  9.111E-014  1.643E-007
   3.548E+016  1.635E+002  8.015E-008  1.412E-010  5.668E-009  1.696E-006  2.099E+003  6.540E-007  8.342E-011  1.352E-013  2.823E-007
   3.981E+016  2.239E+002  9.974E-008  1.191E-010  5.653E-009  1.734E-006  1.667E+003  6.717E-007  8.312E-011  1.917E-013  5.971E-007
   4.467E+016  2.950E+002  1.370E-007  1.123E-010  5.629E-009  1.791E-006  1.325E+003  6.979E-007  8.264E-011  2.628E-013  1.424E-006
   5.012E+016  3.752E+002  2.162E-007  1.201E-010  5.591E-009  1.852E-006  1.052E+003  7.447E-007  8.192E-011  3.617E-013  3.669E-006
   5.623E+016  4.616E+002  4.129E-007  1.540E-010  5.535E-009  1.816E-006  8.357E+002  8.365E-007  8.085E-011  5.283E-013  1.025E-005
   6.310E+016  5.503E+002  9.749E-007  2.202E-010  5.452E-009  1.491E-006  6.638E+002  9.927E-007  7.933E-011  8.133E-013  3.091E-005
   7.079E+016  6.366E+002  2.912E-006  3.280E-010  5.334E-009  9.794E-007  5.273E+002  1.248E-006  7.725E-011  1.260E-012  1.033E-004
   7.943E+016  7.150E+002  1.012E-005  4.394E-010  5.172E-009  5.986E-007  4.188E+002  1.583E-006  7.453E-011  1.716E-012  3.658E-004
   8.913E+016  7.803E+002  3.170E-005  4.684E-010  4.955E-009  4.145E-007  3.327E+002  1.851E-006  7.105E-011  1.825E-012  1.125E-003
   1.000E+017  8.274E+002  7.036E-005  4.187E-010  4.674E-009  3.221E-007  2.643E+002  1.975E-006  6.667E-011  1.592E-012  2.546E-003
   1.122E+017  8.523E+002  1.127E-004  3.521E-010  4.319E-009  2.521E-007  2.099E+002  2.035E-006  6.133E-011  1.284E-012  4.405E-003
   1.259E+017  8.522E+002  1.506E-004  2.958E-010  3.887E-009  1.858E-007  1.667E+002  2.084E-006  5.507E-011  1.026E-012  6.466E-003
   1.413E+017  8.269E+002  1.832E-004  2.525E-010  3.379E-009  1.250E-007  1.325E+002  2.137E-006  4.803E-011  8.362E-013  8.621E-003
   1.585E+017  7.783E+002  2.101E-004  2.201E-010  2.808E-009  7.507E-008  1.052E+002  2.196E-006  4.048E-011  7.049E-013  1.081E-002
   1.778E+017  7.105E+002  2.301E-004  1.962E-010  2.206E-009  3.930E-008  8.357E+001  2.266E-006  3.285E-011  6.204E-013  1.301E-002
   1.995E+017  6.297E+002  2.425E-004  1.789E-010  1.615E-009  1.750E-008  6.638E+001  2.354E-006  2.568E-011  5.726E-013  1.518E-002
   2.239E+017  5.428E+002  2.475E-004  1.665E-010  1.086E-009  6.464E-009  5.273E+001  2.474E-006  1.956E-011  5.539E-013  1.731E-002
   2.512E+017  4.565E+002  2.456E-004  1.578E-010  6.624E-010  1.934E-009  4.188E+001  2.644E-006  1.497E-011  5.592E-013  1.940E-002
   2.818E+017  3.762E+002  2.382E-004  1.516E-010  3.625E-010  4.596E-010  3.327E+001  2.898E-006  1.214E-011  5.846E-013  2.143E-002
   3.162E+017  3.053E+002  2.266E-004  1.469E-010  1.785E-010  8.655E-011  2.643E+001  3.296E-006  1.109E-011  6.271E-013  2.340E-002
   3.548E+017  2.451E+002  2.122E-004  1.430E-010  8.263E-011  1.360E-011  2.099E+001  3.963E-006  1.179E-011  6.827E-013  2.531E-002
   3.981E+017  1.957E+002  1.961E-004  1.377E-010  4.292E-011  2.192E-012  1.667E+001  5.158E-006  1.456E-011  5.937E-013  2.676E-002
   4.467E+017  1.557E+002  1.797E-004  1.127E-010  3.189E-011  5.020E-013  1.325E+001  6.631E-006  1.843E-011  7.525E-014  2.329E-002
   5.012E+017  1.238E+002  1.645E-004  8.489E-011  3.026E-011  1.271E-013  1.052E+001  7.562E-006  2.095E-011  3.746E-014  1.854E-002
   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          



   RADIUS      C           CH+         CH          CH-         N+          N           CH2         CH2+        CH3+        NH+         
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.122E+014  2.666E-004  1.248E-010  5.620E-010  2.262E-015  6.282E-011  8.696E-004  2.530E-004  9.365E-011  7.671E-006  4.841E-011
   1.259E+014  2.435E-004  7.526E-011  3.326E-010  5.187E-015  6.286E-011  1.311E-003  3.037E-004  5.649E-011  4.446E-006  4.795E-011
   1.413E+014  2.219E-004  4.171E-011  3.321E-010  7.044E-015  6.294E-011  1.552E-003  3.048E-004  3.134E-011  2.370E-006  4.748E-011
   1.585E+014  2.021E-004  2.143E-011  4.269E-010  7.878E-015  6.305E-011  1.686E-003  2.923E-004  1.613E-011  1.173E-006  4.700E-011
   1.778E+014  1.840E-004  1.028E-011  6.104E-010  7.982E-015  6.321E-011  1.755E-003  2.772E-004  7.781E-012  5.434E-007  4.651E-011
   1.995E+014  1.676E-004  4.650E-012  8.806E-010  7.618E-015  6.342E-011  1.782E-003  2.612E-004  3.564E-012  2.391E-007  4.602E-011
   2.239E+014  1.525E-004  2.019E-012  1.283E-009  6.983E-015  6.369E-011  1.777E-003  2.451E-004  1.595E-012  1.028E-007  4.551E-011
   2.512E+014  1.389E-004  8.790E-013  1.890E-009  6.212E-015  6.401E-011  1.749E-003  2.294E-004  7.447E-013  4.604E-008  4.499E-011
   2.818E+014  1.265E-004  4.231E-013  2.819E-009  5.400E-015  6.441E-011  1.701E-003  2.143E-004  4.071E-013  2.412E-008  4.447E-011
   3.162E+014  1.151E-004  2.570E-013  4.261E-009  4.608E-015  6.489E-011  1.638E-003  2.001E-004  2.868E-013  1.628E-008  4.394E-011
