  **  PHYSICAL PARAMETERS  **


   RADIUS      n(Htot)     TEMP        A_UV EFF    RAD. EFF    CO K(PH)    CO K(IP)    CO K(AP)    DELTA_AUV   
   1.000E+014  3.109E+009  7.552E+002  7.731E+002  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.160E+003
   1.122E+014  2.470E+009  6.967E+002  6.890E+002  2.194E-302  0.000E+000  0.000E+000  0.000E+000  1.244E+003
   1.259E+014  1.962E+009  6.428E+002  6.141E+002  8.822E-270  0.000E+000  0.000E+000  0.000E+000  1.319E+003
   1.413E+014  1.558E+009  5.930E+002  5.473E+002  1.010E-240  0.000E+000  0.000E+000  0.000E+000  1.385E+003
   1.585E+014  1.238E+009  5.471E+002  4.878E+002  7.994E-215  0.000E+000  0.000E+000  0.000E+000  1.445E+003
   1.778E+014  9.832E+008  5.048E+002  4.348E+002  9.657E-192  0.000E+000  0.000E+000  0.000E+000  1.498E+003
   1.995E+014  7.810E+008  4.657E+002  3.875E+002  3.604E-171  0.000E+000  0.000E+000  0.000E+000  1.545E+003
   2.239E+014  6.204E+008  4.296E+002  3.453E+002  7.790E-153  0.000E+000  0.000E+000  0.000E+000  1.587E+003
   2.512E+014  4.928E+008  3.963E+002  3.078E+002  1.708E-136  0.000E+000  0.000E+000  0.000E+000  1.625E+003
   2.818E+014  3.914E+008  3.657E+002  2.743E+002  6.255E-122  0.000E+000  0.000E+000  0.000E+000  1.659E+003
   3.162E+014  3.109E+008  3.373E+002  2.445E+002  5.974E-109  0.000E+000  0.000E+000  0.000E+000  1.688E+003
   3.548E+014  2.470E+008  3.112E+002  2.179E+002  2.212E-097  0.000E+000  0.000E+000  0.000E+000  1.715E+003
   3.981E+014  1.962E+008  2.871E+002  1.942E+002  4.524E-087  0.000E+000  0.000E+000  0.000E+000  1.739E+003
   4.467E+014  1.558E+008  2.649E+002  1.731E+002  7.007E-078  0.000E+000  0.000E+000  0.000E+000  1.760E+003
   5.012E+014  1.238E+008  2.444E+002  1.543E+002  1.089E-069  0.000E+000  0.000E+000  0.000E+000  1.779E+003
   5.623E+014  9.832E+007  2.255E+002  1.375E+002  2.188E-062  0.000E+000  0.000E+000  0.000E+000  1.795E+003
   6.310E+014  7.810E+007  2.080E+002  1.225E+002  7.119E-056  0.000E+000  0.000E+000  0.000E+000  1.810E+003
   7.079E+014  6.204E+007  1.919E+002  1.092E+002  4.591E-050  0.000E+000  0.000E+000  0.000E+000  1.824E+003
   7.943E+014  4.928E+007  1.770E+002  9.733E+001  7.036E-045  0.000E+000  0.000E+000  0.000E+000  1.835E+003
   8.913E+014  3.914E+007  1.633E+002  8.675E+001  3.010E-040  0.000E+000  0.000E+000  0.000E+000  1.846E+003
   1.000E+015  3.109E+007  1.507E+002  7.731E+001  4.143E-036  0.000E+000  0.000E+000  0.000E+000  1.856E+003
   1.122E+015  2.470E+007  1.390E+002  6.890E+001  2.079E-032  0.000E+000  0.000E+000  0.000E+000  1.864E+003
   1.259E+015  1.962E+007  1.283E+002  6.141E+001  4.241E-029  0.000E+000  0.000E+000  0.000E+000  1.871E+003
   1.413E+015  1.558E+007  1.183E+002  5.473E+001  3.869E-026  0.000E+000  0.000E+000  0.000E+000  1.878E+003
   1.585E+015  1.238E+007  1.092E+002  4.878E+001  1.716E-023  0.000E+000  0.000E+000  0.000E+000  1.884E+003
   1.778E+015  9.832E+006  1.007E+002  4.348E+001  3.988E-021  0.000E+000  0.000E+000  0.000E+000  1.889E+003
   1.995E+015  7.810E+006  9.291E+001  3.875E+001  5.191E-019  0.000E+000  0.000E+000  0.000E+000  1.894E+003
   2.239E+015  6.204E+006  8.572E+001  3.453E+001  4.020E-017  0.000E+000  0.000E+000  0.000E+000  1.898E+003
   2.512E+015  4.928E+006  7.908E+001  3.078E+001  1.955E-015  0.000E+000  0.000E+000  0.000E+000  1.902E+003
   2.818E+015  3.914E+006  7.296E+001  2.743E+001  6.269E-014  0.000E+000  0.000E+000  0.000E+000  1.905E+003
   3.162E+015  3.109E+006  6.731E+001  2.445E+001  1.387E-012  0.000E+000  0.000E+000  0.000E+000  1.908E+003
   3.548E+015  2.470E+006  6.210E+001  2.179E+001  2.203E-011  0.000E+000  0.000E+000  0.000E+000  1.911E+003
   3.981E+015  1.962E+006  5.729E+001  1.942E+001  2.606E-010  0.000E+000  0.000E+000  0.000E+000  1.913E+003
   4.467E+015  1.558E+006  5.285E+001  1.731E+001  2.373E-009  9.110E-022  0.000E+000  0.000E+000  1.916E+003
   5.012E+015  1.238E+006  4.876E+001  1.543E+001  1.713E-008  5.530E-021  0.000E+000  0.000E+000  1.917E+003
   5.623E+015  9.832E+005  4.499E+001  1.375E+001  1.007E-007  3.132E-020  0.000E+000  0.000E+000  1.919E+003
   6.310E+015  7.810E+005  4.150E+001  1.225E+001  4.930E-007  1.461E-019  0.000E+000  0.000E+000  1.921E+003
   7.079E+015  6.204E+005  3.829E+001  1.092E+001  2.052E-006  7.617E-019  0.000E+000  0.000E+000  1.922E+003
   7.943E+015  4.928E+005  3.532E+001  9.733E+000  7.394E-006  2.405E-018  0.000E+000  0.000E+000  1.923E+003
   8.913E+015  3.914E+005  3.259E+001  8.675E+000  2.341E-005  8.473E-018  0.000E+000  0.000E+000  1.924E+003
